index,merchantid,listedproducts,totalunitssold,meanunitssoldperproduct,rating,merchantratingscount,meanproductprices,meanretailprices,averagediscount,meandiscount,meanproductratingscount,totalurgencycount,urgencytextrate
0,5357bcf2bb72c5504882e889,2,120000,60000.0,4.219,320031.0,9.0,20.0,54.0,54.0,8836.0,1.0,50.0
1,5708773c3c02161b3f8c7900,5,107100,21420.0,3.934,139223.0,7.76,34.2,61.0,61.0,4010.0,3.0,60.0
2,5417aada4ad3ab27e954b76c,2,100007,50004.0,4.053,108048.0,8.0,8.0,-1.0,-1.0,5531.0,,
3,570f3a713a698c14278bb51e,1,100000,100000.0,3.889,19248.0,5.67,19.0,71.0,71.0,18393.0,1.0,100.0
4,53082ea15aefb07dfe1f2a4f,1,100000,100000.0,4.036,366898.0,5.0,33.0,85.0,85.0,13789.0,,
5,53f2beb39020ee03566d6e18,1,100000,100000.0,4.067,330405.0,5.77,48.0,88.0,88.0,20744.0,,
6,5926c5ace8ff5525241b368d,7,96000,13714.0,4.139,55499.0,6.69,6.29,-4.0,-3.86,2250.0,1.0,14.0
7,5860c757b1e41d4d67d183e8,4,90100,22525.0,4.049,151249.0,3.43,3.75,11.0,11.0,6290.0,2.0,50.0
8,52bd3ddb34067e4620a4c62d,3,80000,26667.0,4.104,839882.0,7.22,14.67,33.0,33.33,6136.0,1.0,33.0
9,5a7b23a69bda4e3d375e7b3f,5,80000,16000.0,3.966,12974.0,8.4,7.8,-7.0,-6.8,2093.0,1.0,20.0
10,53a2a09ad91139519161a267,3,75000,25000.0,4.256,165915.0,13.33,100.33,86.0,86.0,4007.0,1.0,33.0
11,539937d634067e06707b1a8e,4,71100,17775.0,3.968,51369.0,11.5,86.25,87.0,87.25,6491.0,2.0,50.0
12,58ad449708de0c6dc59d9e06,6,63100,10517.0,4.147,126370.0,3.61,3.33,-4.0,-4.17,3292.0,1.0,17.0
13,56e43d9e3a698c3826a5feff,3,61000,20333.0,4.179,17816.0,8.67,8.0,-8.0,-8.0,5086.0,1.0,33.0
14,53aa664438d3046ee44a5024,4,60100,15025.0,4.128,151914.0,12.5,83.0,86.0,85.5,2517.0,,
15,53facca81c105e3d5866e212,3,60000,20000.0,4.157,402743.0,9.0,114.0,58.0,57.67,3986.0,1.0,33.0
16,5384613a796f680f9d78a127,3,60000,20000.0,4.387,18910.0,16.33,14.33,-14.0,-13.67,3708.0,,
17,558c2cdc89d53c4005ea2920,15,58500,3900.0,3.885,32168.0,4.18,4.13,1.0,1.2,749.0,6.0,40.0
18,55c8a4c33a698c6010edcd9e,6,55200,9200.0,4.121,55670.0,5.39,5.17,-3.0,-2.67,1141.0,2.0,33.0
19,58106cfce516491e6e5f1e53,2,55000,27500.0,4.156,15538.0,5.5,5.0,-8.0,-8.0,5481.0,1.0,50.0
20,5acaf29d5ebcfd72403106a8,12,54300,4525.0,4.045,12309.0,5.56,5.17,-4.0,-4.33,512.0,4.0,33.0
21,54af9c1428565a151043b6bf,3,50000,16667.0,4.038,70773.0,8.0,7.33,-9.0,-9.33,5719.0,1.0,33.0
22,557ed5b886d66519ff242099,4,50000,12500.0,4.154,59903.0,7.12,6.5,-9.0,-9.25,2034.0,1.0,25.0
23,57568f454054c95cbd8d1619,1,50000,50000.0,3.84,78307.0,8.0,54.0,86.0,86.0,14568.0,,
24,5652f4053a698c76dc9a3f37,1,50000,50000.0,4.077,10194.0,7.0,6.0,-16.0,-16.0,6742.0,,
25,5542fcb264b4f014ce88ecae,1,50000,50000.0,4.095,13665.0,4.0,6.0,34.0,34.0,10927.0,,
26,58ad356108de0c6dc39d979d,1,50000,50000.0,4.095,11481.0,5.0,5.0,0.0,0.0,7088.0,,
27,544867549719cd33de1048d5,1,50000,50000.0,4.096,96276.0,5.7,58.0,91.0,91.0,8164.0,,
28,54bcaabb39b8c00b482a115f,1,50000,50000.0,4.105,59198.0,9.0,81.0,89.0,89.0,5359.0,,
29,58c0fff96ecaa3523d59a24d,1,50000,50000.0,4.165,229199.0,2.0,2.0,0.0,0.0,7575.0,,
30,572d45c708fad86678ca1938,1,50000,50000.0,4.216,203805.0,4.66,11.0,58.0,58.0,10122.0,,
31,570b67d4a9dc12590be93b79,1,50000,50000.0,4.228,38264.0,6.0,6.0,0.0,0.0,12880.0,,
32,57e5db02e7f40f131adeeaf8,1,50000,50000.0,4.302,37076.0,9.0,8.0,-12.0,-12.0,13198.0,,
33,5639cd9bddb94f103070ef9f,6,46000,7667.0,3.968,36361.0,8.5,41.83,67.0,67.17,1526.0,1.0,17.0
34,5533c83986ff95173dc017d0,8,43100,5388.0,4.081,88193.0,8.25,7.63,-8.0,-7.62,654.0,2.0,25.0
35,58fdedf645f9b210f58c00cc,4,41100,10275.0,4.08,18877.0,7.47,20.25,17.0,16.75,2210.0,1.0,25.0
36,578866243a698c1713f2d19c,3,41000,13667.0,4.284,43676.0,5.33,5.0,-5.0,-4.67,5013.0,,
37,55c8029641d799421d41fe3a,4,41000,10250.0,3.802,54504.0,7.0,8.75,17.0,17.25,1351.0,,
38,5c51b9b468178729c4213657,4,40000,10000.0,4.109,16013.0,6.68,6.25,-3.0,-3.5,1177.0,,
39,576bbb443a698c085103c010,2,40000,20000.0,4.105,73701.0,9.5,34.0,73.0,73.0,7364.0,,
40,53db691bd911395c8b2f92be,2,40000,20000.0,4.137,17760.0,11.0,14.0,22.0,22.0,8029.0,1.0,50.0
41,5760bd976238335e38551943,2,40000,20000.0,4.168,19221.0,8.0,7.0,-14.0,-14.0,8904.0,1.0,50.0
42,564d8a9ac0f55a1276cd96f8,8,36100,4513.0,4.106,42919.0,6.55,23.75,46.0,46.13,644.0,5.0,63.0
43,566012f6769a5629aefca555,5,32000,6400.0,4.066,39381.0,10.8,23.8,7.0,7.0,1287.0,1.0,20.0
44,57b03628c676b3573ba2a081,6,31206,5201.0,4.05,65189.0,7.67,16.83,39.0,39.17,815.0,3.0,50.0
45,559d33adc605853731afbf10,4,31000,7750.0,4.0,13946.0,9.5,8.5,-12.0,-12.0,1495.0,1.0,25.0
46,58330d7def56284f7634e5e5,3,30000,10000.0,3.936,5816.0,11.0,10.0,-10.0,-10.0,1479.0,2.0,67.0
47,56dce88d21396a16a47eff39,3,30000,10000.0,4.188,80713.0,8.0,84.0,91.0,91.0,2971.0,1.0,33.0
48,5705e40cfda6252c1a9db062,3,30000,10000.0,4.31,78616.0,12.67,11.33,-11.0,-11.33,2641.0,2.0,67.0
49,5c74e493a0e25750b550e2a1,4,30000,7500.0,4.09,14095.0,6.0,5.75,-2.0,-2.5,990.0,2.0,50.0
50,594756ab53ebe27caad41157,2,30000,15000.0,3.903,25356.0,8.5,22.0,55.0,55.0,2348.0,,
51,576cfeed007b536be4a9ae96,2,30000,15000.0,3.999,45964.0,5.41,5.5,2.0,2.0,2493.0,,
52,583138b06339b410ab9663ec,9,28100,3122.0,4.007,80093.0,9.58,17.78,18.0,17.67,390.0,3.0,33.0
53,5c7893301bcc452c015b5de4,4,27000,6750.0,3.925,12441.0,10.0,9.0,-11.0,-11.0,984.0,1.0,25.0
54,5763e55cc6053f5e70522ad7,5,26100,5220.0,3.929,24564.0,7.76,21.8,17.0,16.8,1099.0,2.0,40.0
55,5aa1f31308a2240a052e9a1a,4,26000,6500.0,3.872,8821.0,10.0,8.75,-14.0,-14.0,1537.0,1.0,25.0
56,5cb636dda7173671aedef051,4,26000,6500.0,4.265,96838.0,6.34,5.5,-15.0,-15.0,959.0,2.0,50.0
57,5b160017daac45594728d9ba,6,25200,4200.0,3.909,10474.0,7.83,7.17,-8.0,-8.33,713.0,4.0,67.0
58,58d109c5e3830f6bcb47e35d,4,25100,6275.0,3.939,35262.0,7.0,21.75,42.0,41.5,948.0,1.0,25.0
59,5660e53e769a564b3e3aeca0,2,25000,12500.0,3.999,20681.0,9.0,8.5,-6.0,-6.0,2809.0,1.0,50.0
60,5800a8bb50d8ab5aaee15f20,2,25000,12500.0,4.095,11854.0,6.87,6.0,-14.0,-14.0,2130.0,,
61,55cc4e1d845591103477a561,4,22100,5525.0,3.872,22711.0,12.75,40.5,69.0,68.5,382.0,1.0,25.0
62,55ed5a3362e273427107759e,4,22100,5525.0,3.981,12913.0,11.25,29.25,25.0,25.25,972.0,1.0,25.0
63,5bd29797d32ed5241007af46,3,22000,7333.0,3.881,3771.0,8.0,7.0,-14.0,-14.0,766.0,1.0,33.0
64,5ba2251b4315d12ebce873fa,5,22000,4400.0,4.0,5534.0,8.36,25.2,68.0,67.6,930.0,2.0,40.0
65,56458aa03a698c35c9050988,6,21400,3567.0,3.9,17752.0,5.68,10.33,38.0,37.83,1057.0,3.0,50.0
66,58131ddf6f55296033923a7c,4,21100,5275.0,4.201,90105.0,13.25,93.0,86.0,86.25,1060.0,2.0,50.0
67,55769de4fa0be7249554bce2,2,21000,10500.0,3.998,40245.0,8.5,7.5,-13.0,-13.0,4913.0,1.0,50.0
68,58b011e82e27bf506cee1ace,2,21000,10500.0,4.023,5281.0,9.5,8.5,-12.0,-12.0,1127.0,2.0,100.0
69,53e03f56ff4d6d36d2285ab0,2,21000,10500.0,4.069,25093.0,8.0,91.0,92.0,92.0,5277.0,1.0,50.0
70,59c8a909ae228e37ae159559,2,21000,10500.0,4.085,15076.0,9.0,13.0,31.0,31.0,670.0,1.0,50.0
71,556fc80f95528719e004fe8b,2,21000,10500.0,4.099,40616.0,8.5,7.5,-13.0,-13.0,3514.0,1.0,50.0
72,563c5b3d05398a37780be2e2,2,21000,10500.0,4.19,8191.0,11.5,106.0,90.0,90.0,1711.0,1.0,50.0
73,577fb2b368116418674befd9,5,20300,4060.0,4.138,66644.0,5.61,5.2,-3.0,-3.2,747.0,2.0,40.0
74,5ab3b592c3911a095ad5dadb,3,20200,6733.0,4.002,14482.0,6.15,5.67,1.0,0.67,744.0,1.0,33.0
75,56455b13b15aab129db58cb7,3,20200,6733.0,4.155,16803.0,10.33,9.0,-15.0,-14.67,1056.0,,
76,5406c9c77f086e1be430d73e,5,20200,4040.0,4.204,246312.0,9.2,9.0,-3.0,-2.8,847.0,2.0,40.0
77,59b7d6e1eea5c510889ea754,3,20100,6700.0,3.874,9177.0,7.67,18.0,58.0,57.67,1018.0,1.0,33.0
78,5b507899ab577736508a0782,3,20100,6700.0,4.225,5316.0,6.33,40.67,42.0,42.33,976.0,,
79,5810aa5bde5bf01b645c909e,2,20100,10050.0,3.919,3791.0,3.38,3.5,4.0,4.0,876.0,1.0,50.0
80,56c6f731bc435416ed5984d7,2,20100,10050.0,4.017,40943.0,5.75,30.5,39.0,38.5,1516.0,1.0,50.0
81,5a018060448a526b450ddab8,2,20100,10050.0,4.153,8776.0,7.5,7.0,-6.0,-6.0,2696.0,1.0,50.0
82,57864d704d669274929898fb,3,20020,6673.0,3.925,32394.0,7.67,25.33,51.0,51.33,2872.0,,
83,584c23fbef56286074d2c9a6,3,20000,6667.0,3.732,3566.0,6.6,5.67,-16.0,-15.67,1243.0,,
84,5b1522ab7b94e12ee3d455c9,3,20000,6667.0,3.85,4295.0,6.59,5.67,-16.0,-16.0,549.0,1.0,33.0
85,55e7e41e606d0a18fdfc67d1,3,20000,6667.0,4.268,61895.0,10.0,9.0,-11.0,-11.33,1325.0,1.0,33.0
86,583e7f658108913bced6f8cf,3,20000,6667.0,4.29,9200.0,9.0,8.0,-13.0,-12.67,902.0,1.0,33.0
87,58216982dd9916453fe2d1a1,3,20000,6667.0,4.294,213709.0,5.91,27.0,77.0,77.33,1300.0,2.0,67.0
88,5803772d4dcf7942d7280c39,1,20000,20000.0,3.915,14553.0,14.0,12.0,-16.0,-16.0,5891.0,,
89,5a200757518c1c4b34845a1f,1,20000,20000.0,3.962,21210.0,5.8,43.0,87.0,87.0,2407.0,,
90,537975ab71795104807b06b4,1,20000,20000.0,3.962,33839.0,11.0,20.0,45.0,45.0,3929.0,,
91,5810a3d4a70e0356e24d3c6c,1,20000,20000.0,3.999,12476.0,8.0,7.0,-14.0,-14.0,3761.0,,
92,5a72e56d9d5e975657c1460a,1,20000,20000.0,4.003,4336.0,11.0,19.0,43.0,43.0,2729.0,,
93,598d8d1e2afd354f6ef9950d,1,20000,20000.0,4.007,15106.0,9.0,50.0,82.0,82.0,2440.0,,
94,570b68b9e902df590e48d196,1,20000,20000.0,4.017,11965.0,11.0,84.0,87.0,87.0,3572.0,1.0,100.0
95,56d813f66d64ff168ab1bfac,1,20000,20000.0,4.047,56999.0,3.79,49.0,93.0,93.0,8412.0,,
96,57a995f564fa71286bac2109,1,20000,20000.0,4.064,43742.0,7.0,11.0,37.0,37.0,6510.0,,
97,5368f053bb72c5150191a140,1,20000,20000.0,4.065,15748.0,9.0,8.0,-12.0,-12.0,3820.0,,
98,5c80bd2ab1ad6a6fc52a7eb3,1,20000,20000.0,4.07,3271.0,7.0,6.0,-16.0,-16.0,2464.0,,
99,59c0e0168696be51cef38e93,1,20000,20000.0,4.073,6714.0,6.0,6.0,0.0,0.0,2706.0,1.0,100.0
100,59cdc2112351344fc0dfa54f,1,20000,20000.0,4.082,22089.0,9.0,9.0,0.0,0.0,5479.0,,
101,55af776cc982de2775ba26d2,1,20000,20000.0,4.084,15006.0,8.0,59.0,87.0,87.0,5929.0,,
102,555f4174a4efd10ea5ebaa5f,1,20000,20000.0,4.097,200089.0,13.0,30.0,57.0,57.0,3421.0,1.0,100.0
103,59df389c88dd76239f03c701,1,20000,20000.0,4.097,4107.0,22.0,19.0,-15.0,-15.0,1103.0,,
104,5756d060b833235cbc250227,1,20000,20000.0,4.097,45964.0,13.0,252.0,95.0,95.0,12041.0,,
105,54869f80546ead6e5b318f5b,1,20000,20000.0,4.112,30892.0,12.0,11.0,-9.0,-9.0,5351.0,,
106,5acf2091cd968d299afe79a3,1,20000,20000.0,4.114,11740.0,6.0,6.0,0.0,0.0,6509.0,,
107,580dd6425250a21944205a36,1,20000,20000.0,4.119,4646.0,5.87,5.0,-17.0,-17.0,4137.0,,
108,57aeb5fb5a4ac218de83b64d,1,20000,20000.0,4.13,9492.0,8.0,7.0,-14.0,-14.0,3700.0,,
109,58b26eaa01c02f5114ac2ae9,1,20000,20000.0,4.147,21892.0,8.0,7.0,-14.0,-14.0,3090.0,,
110,5c0232c1d9333c676958674e,1,20000,20000.0,4.165,8501.0,7.0,6.0,-16.0,-16.0,2019.0,1.0,100.0
111,595b54fcd44a9b1180cb102b,1,20000,20000.0,4.168,49327.0,9.0,36.0,75.0,75.0,4345.0,,
112,5b2620ddd1c360688799eb51,1,20000,20000.0,4.184,6555.0,5.78,8.0,28.0,28.0,3975.0,,
113,58df45e5795cf052ae1c2142,1,20000,20000.0,4.196,8205.0,5.66,5.0,-13.0,-13.0,2927.0,,
114,57820e33ea637711873c1618,1,20000,20000.0,4.196,4570.0,3.65,4.0,9.0,9.0,4215.0,,
115,57edcd19252c15203b411d82,1,20000,20000.0,4.197,127966.0,5.71,84.0,94.0,94.0,4657.0,1.0,100.0
116,58183b4ea642e03dc54eda6e,1,20000,20000.0,4.205,48654.0,8.0,84.0,91.0,91.0,8960.0,1.0,100.0
117,542a670d4f66d92eba599455,1,20000,20000.0,4.209,32923.0,8.0,7.0,-14.0,-14.0,5781.0,,
118,584fd5cbd67ff04c93c70560,1,20000,20000.0,4.26,10269.0,5.0,5.0,0.0,0.0,7773.0,,
119,53208a086fa88c662a693514,1,20000,20000.0,4.288,44067.0,13.0,11.0,-18.0,-18.0,4378.0,1.0,100.0
120,58be502223167e61443f4d92,1,20000,20000.0,4.292,4448.0,11.0,10.0,-10.0,-10.0,3648.0,,
121,57875ba40cb30d38ba46f57d,1,20000,20000.0,4.31,58068.0,11.0,37.0,71.0,71.0,7596.0,1.0,100.0
122,5487c9b1b9b7e705069489fb,1,20000,20000.0,4.319,12304.0,5.88,9.0,35.0,35.0,6450.0,,
123,55e7ed3230a9764b0761fc82,1,20000,20000.0,4.321,68022.0,2.65,3.0,12.0,12.0,3443.0,,
124,54898f4c223ebf1cd713fdc2,1,20000,20000.0,4.33,295161.0,19.0,105.0,82.0,82.0,3787.0,,
125,57ff8c180fb8e31870c27d68,1,20000,20000.0,4.448,6719.0,8.0,75.0,90.0,90.0,5254.0,1.0,100.0
126,54b8872d40b37856baa55e38,1,20000,20000.0,4.462,100789.0,3.66,4.0,9.0,9.0,5882.0,,
127,5770ca6694fc5029d02c368a,2,20000,10000.0,3.901,12006.0,8.0,7.0,-14.0,-14.0,2069.0,1.0,50.0
128,5810c46f02b01e15f8a10e38,2,20000,10000.0,3.938,7314.0,5.93,5.5,-8.0,-8.5,787.0,1.0,50.0
129,561dc58d1f1ffb54d008b82f,2,20000,10000.0,4.144,110548.0,7.0,12.0,26.0,25.5,2911.0,,
130,591c4e7f1a071f13df7a63ff,2,20000,10000.0,4.168,2050.0,8.0,140.0,95.0,95.0,1910.0,1.0,50.0
131,53e442474497c57e900d7c64,2,20000,10000.0,4.194,3665.0,8.0,16.0,50.0,50.0,1589.0,1.0,50.0
132,54125ab34ad3ab158c0f72d9,2,20000,10000.0,4.236,190918.0,11.0,10.0,-10.0,-10.0,1717.0,1.0,50.0
133,570d017b1b4ca758e18e407d,2,20000,10000.0,4.244,10258.0,8.0,7.0,-14.0,-14.0,2438.0,,
134,5826f19f20a9402c37313979,2,20000,10000.0,4.307,5808.0,9.0,10.0,10.0,10.0,2587.0,1.0,50.0
135,582833faea77701b456c786a,8,17400,2175.0,3.868,10600.0,5.45,5.38,0.0,-0.12,326.0,2.0,25.0
136,59aaa4d39fbc514dc80328e3,4,17000,4250.0,3.899,17120.0,10.0,17.5,27.0,26.75,571.0,2.0,50.0
137,5b14d31d7e43f22f255ea98c,3,16000,5333.0,4.19,21012.0,3.83,38.0,89.0,89.33,1330.0,,
138,5406cabdc5c2464980dc6314,4,15100,3775.0,4.167,139788.0,7.25,23.5,47.0,46.5,772.0,1.0,25.0
139,5ae90e716691361cdb40fb0b,4,15100,3775.0,4.275,5781.0,8.25,22.5,50.0,49.5,683.0,1.0,25.0
140,5784d339e8aa8938977fefd0,3,15050,5017.0,4.146,21485.0,8.33,17.67,31.0,30.67,965.0,,
141,5c73a50ba0e25714e7f2bf90,2,15000,7500.0,3.938,4178.0,8.0,7.0,-14.0,-14.0,1074.0,,
142,597767f6171974220c25560a,2,15000,7500.0,4.03,16447.0,13.5,11.5,-17.0,-17.0,2312.0,,
143,5810bc6d61e38656e04e8ba2,2,15000,7500.0,4.055,7069.0,6.45,5.5,-17.0,-17.0,1255.0,,
144,583547f417dc6224cb464117,2,15000,7500.0,4.058,4213.0,7.5,7.0,-7.0,-7.0,765.0,,
145,569f632ed5f0840dda331a97,2,15000,7500.0,4.238,22765.0,10.0,14.5,25.0,24.5,1412.0,1.0,50.0
146,57baf75f63834218e305e4f4,5,13100,2620.0,3.886,32858.0,9.78,8.6,-12.0,-11.6,804.0,2.0,40.0
147,59c86bce67e9be6f9da5cb03,4,13000,3250.0,4.03,37956.0,6.1,43.0,65.0,64.5,717.0,2.0,50.0
148,556d0dc2c00cd721cce30dd1,3,12000,4000.0,3.996,25260.0,6.33,6.0,-5.0,-5.33,1431.0,1.0,33.0
149,584bcf7bfef409603f39b619,3,12000,4000.0,4.018,35358.0,5.96,6.33,8.0,7.67,619.0,1.0,33.0
150,566eaa533a698c6442549a74,4,12000,3000.0,3.947,5083.0,7.4,25.0,38.0,37.5,489.0,2.0,50.0
151,565c13ad389b9b2df29caa32,4,12000,3000.0,4.137,11505.0,6.11,11.5,33.0,33.0,312.0,1.0,25.0
152,5667f9745eec70268023940b,5,11200,2240.0,3.947,130598.0,10.18,13.0,4.0,4.2,437.0,2.0,40.0
153,58cfdefdacb37b556efdff7c,4,11100,2775.0,4.02,23832.0,8.75,9.5,7.0,7.0,320.0,2.0,50.0
154,5832e5632f5e534c23488f06,4,11100,2775.0,4.101,18029.0,11.5,17.75,20.0,19.5,521.0,1.0,25.0
155,55542b4b662da7114d591723,3,11000,3667.0,4.102,67171.0,8.0,8.0,1.0,1.0,989.0,3.0,100.0
156,5829d1ca96db262f04db2063,2,11000,5500.0,3.85,5934.0,8.0,60.5,70.0,69.5,410.0,1.0,50.0
157,5831ae002f5e534c0a485f06,2,11000,5500.0,3.865,4524.0,9.0,18.0,31.0,31.0,398.0,,
158,53994751796f684b7f2193b5,2,11000,5500.0,3.973,45524.0,6.93,22.5,41.0,40.5,334.0,1.0,50.0
159,57086fd7fa6bee434d0e5852,2,11000,5500.0,4.029,10501.0,6.0,50.0,81.0,80.5,1294.0,,
160,5954b765abea9167c0495382,2,11000,5500.0,4.163,6329.0,10.5,9.0,-16.0,-16.0,1489.0,,
161,58481b8e728de666bd5b925f,2,11000,5500.0,4.193,20387.0,15.0,125.0,88.0,88.0,1344.0,1.0,50.0
162,57c306d73a698c06f98ed450,4,10200,2550.0,4.114,9827.0,7.5,21.0,65.0,65.0,310.0,2.0,50.0
163,57fde031235aaa1926afe803,3,10100,3367.0,4.014,15348.0,6.67,27.33,51.0,51.33,306.0,1.0,33.0
164,55cc46e9b4f3404582b70222,2,10100,5050.0,3.928,29615.0,10.0,27.0,47.0,47.0,206.0,,
165,5667c747eb4b140fe963ba77,2,10100,5050.0,3.987,59234.0,7.5,46.0,46.0,45.5,398.0,,
166,5b24b6bdd1c3601ba899f0c0,1,10000,10000.0,3.795,6158.0,12.0,11.0,-9.0,-9.0,1276.0,1.0,100.0
167,5d4b891183889735374d3c88,1,10000,10000.0,3.795,1260.0,8.0,56.0,86.0,86.0,1285.0,,
168,582872761004352e57ee38a1,1,10000,10000.0,3.849,3972.0,9.0,14.0,36.0,36.0,644.0,,
169,5b14bc7ddaac4575492a01c5,1,10000,10000.0,3.872,12371.0,11.0,20.0,45.0,45.0,2841.0,1.0,100.0
170,59a2e74a8696be0eeb7a7ba9,1,10000,10000.0,3.897,8563.0,8.0,7.0,-14.0,-14.0,1467.0,1.0,100.0
171,5d3d59c772b0c92f4d1ea32d,1,10000,10000.0,3.907,1702.0,7.0,16.0,57.0,57.0,1792.0,,
172,582d5286168b54404ec5ecf2,1,10000,10000.0,3.941,5466.0,13.0,14.0,8.0,8.0,1938.0,,
173,591ed674fc9cce0fcd7ff354,1,10000,10000.0,3.952,2366.0,5.9,5.0,-18.0,-18.0,1933.0,,
174,5b8beef49996c87b299cdbec,1,10000,10000.0,3.958,6302.0,11.0,10.0,-10.0,-10.0,2058.0,,
175,5833f721e18c0f15d659a8ed,1,10000,10000.0,3.961,4019.0,8.0,7.0,-14.0,-14.0,1087.0,1.0,100.0
176,5b629265299c7e3db17cf86d,1,10000,10000.0,3.975,19735.0,5.77,5.0,-15.0,-15.0,2892.0,,
177,58579043e950f24d94f612dc,1,10000,10000.0,3.976,33148.0,8.0,13.0,39.0,39.0,2753.0,,
178,57e90050b97437131f78c7d7,1,10000,10000.0,3.982,3549.0,5.78,26.0,78.0,78.0,1426.0,,
