index,merchantid,listedproducts,totalunitssold,meanunitssoldperproduct,rating,merchantratingscount,meanproductprices,meanretailprices,averagediscount,meandiscount,meanproductratingscount,totalurgencycount,urgencytextrate
179,584a9e7421390e4cb68dec18,1,10000,10000.0,3.982,6818.0,8.0,7.0,-14.0,-14.0,1649.0,,
180,5620c3b23a698c4bc7d17e8c,1,10000,10000.0,3.985,19521.0,12.0,11.0,-9.0,-9.0,3560.0,1.0,100.0
181,58061170aa46c6195c12950b,1,10000,10000.0,3.988,1987.0,8.0,9.0,12.0,12.0,1316.0,,
182,5847df29728de666ef5b853b,1,10000,10000.0,3.995,19879.0,8.0,8.0,0.0,0.0,1858.0,,
183,56669d89eb4b14361d45090f,1,10000,10000.0,4.018,23465.0,5.65,25.0,78.0,78.0,418.0,,
184,58da4490933abf52ad547200,1,10000,10000.0,4.025,23485.0,8.0,118.0,94.0,94.0,2519.0,,
185,578ed3e53a698c2b54ac93f4,1,10000,10000.0,4.026,14284.0,11.0,10.0,-10.0,-10.0,2102.0,,
186,55cc3e5f845591103477a2f8,1,10000,10000.0,4.033,55089.0,6.0,9.0,34.0,34.0,2211.0,,
187,570ceafac277d445e3cbebe5,1,10000,10000.0,4.053,7356.0,8.0,7.0,-14.0,-14.0,1312.0,1.0,100.0
188,5b6bb9c8dd0d902d18928318,1,10000,10000.0,4.054,7544.0,5.68,7.0,19.0,19.0,1232.0,,
189,5556c60071e86d19fe7590d4,1,10000,10000.0,4.055,5993.0,6.0,7.0,15.0,15.0,1238.0,1.0,100.0
190,5a9cfdb4ccf0c85918542fdd,1,10000,10000.0,4.066,34311.0,7.0,6.0,-16.0,-16.0,2483.0,,
191,565973368f5f027e14060846,1,10000,10000.0,4.071,27719.0,14.0,75.0,82.0,82.0,2514.0,,
192,5730557ae3daeb5b35ee1f0b,1,10000,10000.0,4.074,10665.0,6.0,8.0,25.0,25.0,1010.0,1.0,100.0
193,573d951ad57895595f6d5854,1,10000,10000.0,4.077,13399.0,8.0,7.0,-14.0,-14.0,2604.0,1.0,100.0
194,567a54fe7071ec7e12a1494e,1,10000,10000.0,4.079,12004.0,9.0,8.0,-12.0,-12.0,3101.0,,
195,5b52ea49b56d05463d973207,1,10000,10000.0,4.085,6651.0,8.0,22.0,64.0,64.0,904.0,1.0,100.0
196,5448701f90c77609a237f99f,1,10000,10000.0,4.088,117487.0,12.0,13.0,8.0,8.0,893.0,,
197,5780c6b2e8aa893157a3286f,1,10000,10000.0,4.101,11264.0,7.0,6.0,-16.0,-16.0,3078.0,,
198,5939085087117919c6f12a77,1,10000,10000.0,4.105,2399.0,1.91,2.0,5.0,5.0,697.0,,
199,58c28c4cae99c651278d7e6e,1,10000,10000.0,4.109,19436.0,11.0,10.0,-10.0,-10.0,1780.0,,
200,591c47e34d43573c91966c72,1,10000,10000.0,4.115,15502.0,11.0,43.0,75.0,75.0,2521.0,,
201,5937930e188f3d1bd209896d,1,10000,10000.0,4.122,9325.0,11.0,12.0,9.0,9.0,666.0,,
202,57fcc26f1c813a50b2a86956,1,10000,10000.0,4.123,31559.0,6.0,142.0,96.0,96.0,1941.0,,
203,5acdb384ccf0c86f34c5d539,1,10000,10000.0,4.125,9938.0,7.0,6.0,-16.0,-16.0,1797.0,,
204,5addba5481260b1ddfffe5a3,1,10000,10000.0,4.145,3977.0,7.0,16.0,57.0,57.0,1116.0,,
205,56c3c5d830d9795c3bad3124,1,10000,10000.0,4.148,14502.0,13.0,11.0,-18.0,-18.0,2901.0,1.0,100.0
206,59b88527b77173631729908e,1,10000,10000.0,4.149,21412.0,4.0,4.0,0.0,0.0,1412.0,1.0,100.0
207,56e6928521790d587623b3b4,1,10000,10000.0,4.151,27055.0,5.0,5.0,0.0,0.0,3208.0,1.0,100.0
208,57973560cb38dd77d126e9f1,1,10000,10000.0,4.152,120781.0,11.0,16.0,32.0,32.0,1586.0,,
209,5acc6cc0c3911a32ad141f60,1,10000,10000.0,4.162,8727.0,7.0,9.0,23.0,23.0,1838.0,1.0,100.0
210,5961d4e6905fdb5a6f505cd3,1,10000,10000.0,4.181,11148.0,8.0,7.0,-14.0,-14.0,1473.0,,
211,59dc769133a48743534ac5c7,1,10000,10000.0,4.181,2975.0,11.0,11.0,0.0,0.0,1520.0,,
212,586dff6c16e4106b5e5feb58,1,10000,10000.0,4.183,28159.0,6.0,76.0,93.0,93.0,1741.0,,
213,5ae5c3cb4215954239aff8b9,1,10000,10000.0,4.188,2359.0,6.0,10.0,40.0,40.0,1496.0,1.0,100.0
214,57d904168172661fe3b3256a,1,10000,10000.0,4.192,2888.0,9.0,59.0,85.0,85.0,1721.0,,
215,58ffff331a1cef16a78c78f4,1,10000,10000.0,4.203,22173.0,13.0,84.0,85.0,85.0,2328.0,1.0,100.0
216,598040ea0ec30f7f43a3cc35,1,10000,10000.0,4.209,4295.0,9.0,8.0,-12.0,-12.0,3024.0,1.0,100.0
217,56e628924bd2915857b4ffdf,1,10000,10000.0,4.224,16064.0,14.0,12.0,-16.0,-16.0,3574.0,,
218,56f0f2bdc3c3715871ade946,1,10000,10000.0,4.228,30292.0,8.0,25.0,68.0,68.0,2324.0,,
219,5d52278327752b029793c927,1,10000,10000.0,4.238,783.0,1.77,2.0,12.0,12.0,510.0,,
220,5b43232f86152a07d4ffc58c,1,10000,10000.0,4.241,4907.0,8.0,11.0,28.0,28.0,1715.0,,
221,5b8a5636af279f1699366496,1,10000,10000.0,4.251,3309.0,18.0,17.0,-5.0,-5.0,3229.0,,
222,551c02310570552bbd036dbb,1,10000,10000.0,4.259,20169.0,8.0,11.0,28.0,28.0,3345.0,1.0,100.0
223,5ad31267ea8764621df718c0,1,10000,10000.0,4.28,11596.0,6.0,31.0,81.0,81.0,2789.0,,
224,58b81d56e3f66d59b36812ac,1,10000,10000.0,4.293,9661.0,7.0,6.0,-16.0,-16.0,3079.0,,
225,53ad2f5a46188e43c8b6bef6,1,10000,10000.0,4.301,23719.0,13.0,84.0,85.0,85.0,2592.0,,
226,591a999d1a071f7e40e984a4,1,10000,10000.0,4.301,17621.0,16.0,14.0,-14.0,-14.0,3075.0,1.0,100.0
227,56e7bdeefdc43f585fce9122,1,10000,10000.0,4.308,9981.0,13.0,11.0,-18.0,-18.0,1184.0,,
228,53f2db3c104dae6bcae0c271,1,10000,10000.0,4.311,230951.0,4.0,4.0,0.0,0.0,2150.0,,
229,5577b101429aa92940bc33e7,1,10000,10000.0,4.314,33675.0,6.0,6.0,0.0,0.0,2808.0,1.0,100.0
230,596c927e94158579f28517e3,1,10000,10000.0,4.322,1659.0,8.0,47.0,83.0,83.0,1631.0,,
231,5b2604207b94e16c00375350,1,10000,10000.0,4.324,2736.0,6.0,6.0,0.0,0.0,1669.0,,
232,59797d8e439a9870104928a1,1,10000,10000.0,4.343,16091.0,9.0,17.0,48.0,48.0,2253.0,,
233,565537c7a9a8a4572be0bef5,1,10000,10000.0,4.353,12881.0,17.0,15.0,-13.0,-13.0,3040.0,,
234,5bd0a13aa8f4bb2739445be4,1,10000,10000.0,4.356,2174765.0,5.66,5.0,-13.0,-13.0,2068.0,,
235,58a6971e0e16e97a6636a1b8,1,10000,10000.0,4.395,85562.0,4.66,5.0,7.0,7.0,1594.0,,
236,57713183bd6b18740117229d,1,10000,10000.0,4.396,11333.0,3.67,4.0,9.0,9.0,2072.0,,
237,585037af728de662411bd39a,2,10000,5000.0,3.775,6876.0,8.5,8.0,-4.0,-4.5,486.0,1.0,50.0
238,5bde9444a53011739fbde291,2,10000,5000.0,3.818,2127.0,8.5,8.0,-5.0,-5.0,707.0,,
239,5646e6e72a6bdb446aaf6cc8,2,10000,5000.0,3.88,20037.0,11.0,10.0,-10.0,-10.0,402.0,1.0,50.0
240,58d20e95c7b73b52c9670c22,2,10000,5000.0,4.048,32778.0,5.0,6.0,17.0,17.0,824.0,1.0,50.0
241,56c55a76cce1893c1b8a1716,2,10000,5000.0,4.07,5019.0,5.0,8.0,38.0,38.0,747.0,1.0,50.0
242,5b658cbebc3b221445ba1440,2,10000,5000.0,4.082,8547.0,7.0,159.0,96.0,96.0,1632.0,1.0,50.0
243,58dceeb2a6d6757401114dfd,2,10000,5000.0,4.106,31916.0,13.0,11.5,-12.0,-12.5,1055.0,,
244,599bf53b21064f19ffffc891,2,10000,5000.0,4.124,13127.0,10.0,18.0,30.0,29.5,275.0,1.0,50.0
245,57fc688ffcd3bb1955cb6f31,2,10000,5000.0,4.217,8242.0,7.0,26.0,74.0,74.0,542.0,1.0,50.0
246,58a6b5d975b8da57c954c719,2,10000,5000.0,4.286,99283.0,4.75,4.5,-4.0,-4.0,749.0,1.0,50.0
247,5495976a40b3782bc8b3654a,4,8000,2000.0,3.954,73271.0,9.75,11.25,5.0,5.25,563.0,1.0,25.0
248,5ae296b6cd968d66be12d247,3,7000,2333.0,4.062,3592.0,8.67,24.33,27.0,26.67,266.0,1.0,33.0
249,587f85cbb8038f4cb049c56c,3,7000,2333.0,4.08,50864.0,6.27,14.33,43.0,43.33,432.0,,
250,5ae3d438c1d5187ae0dcea90,3,7000,2333.0,4.147,5042.0,10.33,27.0,36.0,36.33,433.0,,
251,571b38e66c39b141b1ad43e1,4,6200,1550.0,3.858,3053.0,5.75,5.5,-3.0,-3.5,137.0,,
252,58311e2257e86a1b8863f74c,4,6200,1550.0,3.968,7076.0,8.5,33.0,36.0,35.75,193.0,3.0,75.0
253,58a99ceca65ebc504a6ebf1e,4,6020,1505.0,3.966,27175.0,8.95,42.75,37.0,37.0,325.0,1.0,25.0
254,58b92804935861529969e778,3,6010,2003.0,4.254,6357.0,5.97,5.33,-11.0,-10.67,197.0,2.0,67.0
255,5d464f4a56a26046dd1bb8a4,2,6000,3000.0,3.777,779.0,12.0,11.0,-9.0,-9.0,491.0,,
256,5d49403060c79c113a908720,2,6000,3000.0,3.871,3460.0,7.5,6.5,-15.0,-15.0,743.0,,
257,583e34bb0299bc7904a92edf,2,6000,3000.0,4.152,5819.0,9.0,8.0,-12.0,-12.0,481.0,,
258,5860cf7b0929fc4d76180aed,2,6000,3000.0,4.194,124563.0,10.0,9.0,-11.0,-11.0,484.0,,
259,5788a55ba78e3f2dce4126ff,2,6000,3000.0,4.223,13884.0,3.5,3.5,0.0,0.0,858.0,,
260,58d0c52c19bf8b6b34178db0,2,6000,3000.0,4.268,30225.0,9.5,61.0,82.0,81.5,985.0,1.0,50.0
261,5268759b736046671957190c,5,5400,1080.0,3.838,91631.0,2.31,10.0,75.0,75.2,187.0,2.0,40.0
262,55f7c64b3a698c4749f3bccf,4,5250,1313.0,4.074,14676.0,7.75,13.5,12.0,11.5,308.0,1.0,25.0
263,566a47bfe9fa8a31b3ef5141,5,5250,1050.0,4.002,25222.0,6.8,32.4,68.0,68.0,279.0,2.0,40.0
264,54d83b6b6b8a771e478558de,3,5200,1733.0,3.696,4435.0,3.0,46.67,92.0,92.33,529.0,1.0,33.0
265,53f6b7c81c105e2dfac91041,3,5200,1733.0,4.301,225438.0,8.67,8.0,-7.0,-6.67,366.0,1.0,33.0
266,58ba636a69ad29505a730852,2,5100,2550.0,3.832,18138.0,3.37,43.5,54.0,54.0,154.0,,
267,5963882dd9b42511248ca27d,2,5100,2550.0,3.854,2363.0,10.98,10.0,-6.0,-6.5,368.0,1.0,50.0
268,5788dc8d88eb7a2e8a04b1b2,2,5100,2550.0,3.955,38258.0,12.5,35.5,33.0,33.0,458.0,,
269,5ad4325e9bda4e08bf7fd188,2,5100,2550.0,4.065,8117.0,17.0,64.0,36.0,35.5,386.0,,
270,5d173ba2dbf7606ee45e0b19,2,5100,2550.0,4.216,7851.0,6.0,17.0,65.0,65.0,252.0,,
271,5b235f8ad1c3603c027fdcda,2,5100,2550.0,4.218,5841.0,10.0,9.5,-3.0,-3.5,1092.0,,
272,583e3e7a5022c71b82d1b18c,2,5100,2550.0,4.236,2199.0,6.34,13.5,28.0,28.0,425.0,1.0,50.0
273,5817f156d8ef7848c3b400cc,2,5100,2550.0,4.386,73595.0,11.5,128.5,91.0,90.5,277.0,2.0,100.0
274,593aa1956a74d26d7914a7e4,1,5000,5000.0,3.682,1021.0,12.0,11.0,-9.0,-9.0,887.0,,
275,59a8267535e73b1fe45b702e,1,5000,5000.0,3.687,1686.0,7.0,6.0,-16.0,-16.0,1212.0,,
276,5832a8766945cb1c96d3e2d8,1,5000,5000.0,3.795,12348.0,18.0,27.0,34.0,34.0,1058.0,,
277,58314fcb7284901b7ca0d358,1,5000,5000.0,3.8,9678.0,8.0,8.0,0.0,0.0,555.0,,
278,57ac6144abd6d018985e34a7,1,5000,5000.0,3.819,24095.0,15.0,13.0,-15.0,-15.0,1072.0,,
279,5ad6ddb822fad74c8ed3fa3a,1,5000,5000.0,3.821,1029.0,9.0,8.0,-12.0,-12.0,429.0,,
280,5ae2fae49d5e9703cfd6b63c,1,5000,5000.0,3.843,4830.0,11.0,17.0,36.0,36.0,692.0,1.0,100.0
281,59e6e21337f9f80861ee895f,1,5000,5000.0,3.864,7631.0,8.0,50.0,84.0,84.0,1057.0,1.0,100.0
282,5ba8dffeb2f5b12221c73576,1,5000,5000.0,3.873,2608.0,11.0,108.0,90.0,90.0,299.0,,
283,58de1f5eef07c15511148726,1,5000,5000.0,3.897,3990.0,12.0,16.0,25.0,25.0,701.0,,
284,5a6166cbedd44230ea9c60dc,1,5000,5000.0,3.904,2510.0,8.0,7.0,-14.0,-14.0,876.0,1.0,100.0
285,5b96067f42ebca48f6c041e8,1,5000,5000.0,3.911,4571.0,13.0,17.0,24.0,24.0,792.0,1.0,100.0
286,578793716b944637fa356bb4,1,5000,5000.0,3.923,1411.0,6.0,6.0,0.0,0.0,609.0,,
287,578e02bec0e9340e993d13f4,1,5000,5000.0,3.946,5365.0,8.0,7.0,-14.0,-14.0,309.0,1.0,100.0
288,5a1a2758f3c1176a45e41544,1,5000,5000.0,3.946,1490.0,11.0,12.0,9.0,9.0,1045.0,,
289,576518fcf093bd5e79c5e351,1,5000,5000.0,3.946,17244.0,13.0,51.0,75.0,75.0,127.0,1.0,100.0
290,5a5a074d87c25b39c7a80ef1,1,5000,5000.0,3.949,9926.0,6.0,41.0,86.0,86.0,939.0,,
291,5646025ecb3a45127928c032,1,5000,5000.0,3.958,5660.0,11.0,10.0,-10.0,-10.0,1897.0,,
292,54f804901c36ca266909d090,1,5000,5000.0,3.96,15173.0,19.0,17.0,-11.0,-11.0,1163.0,1.0,100.0
293,5b5a8a32f114fc2a4ca301d3,1,5000,5000.0,3.96,7874.0,14.0,27.0,49.0,49.0,1442.0,1.0,100.0
294,57ff8bcd0712e0312f81ed73,1,5000,5000.0,3.966,1029.0,2.0,2.0,0.0,0.0,320.0,,
295,5ae417f567d25c041f6dd934,1,5000,5000.0,3.978,1288.0,12.0,17.0,30.0,30.0,387.0,,
296,5837b0dc751d4d1b6e319c73,1,5000,5000.0,3.981,56745.0,13.0,11.0,-18.0,-18.0,1224.0,,
297,58c4f51a77361650efb028df,1,5000,5000.0,3.981,1821.0,9.0,8.0,-12.0,-12.0,593.0,,
298,58160e10f870301b4bff64fc,1,5000,5000.0,3.986,3915.0,9.0,8.0,-12.0,-12.0,878.0,1.0,100.0
299,56d6cf588bd26e03ee663123,1,5000,5000.0,3.995,7889.0,9.0,50.0,82.0,82.0,985.0,,
300,5825d0a72cf1425389672c35,1,5000,5000.0,4.002,12574.0,8.0,7.0,-14.0,-14.0,581.0,1.0,100.0
301,5d55015e3cc46d5c40a15c19,1,5000,5000.0,4.015,1181.0,9.0,19.0,53.0,53.0,588.0,,
302,5d7c4cc361090057c2bc7331,1,5000,5000.0,4.018,571.0,12.0,13.0,8.0,8.0,192.0,,
303,5902b4eab3e322098d3b41eb,1,5000,5000.0,4.022,35751.0,11.0,88.0,88.0,88.0,1514.0,,
304,59afe1e030e1f33208fb2ca0,1,5000,5000.0,4.025,12033.0,7.0,6.0,-16.0,-16.0,601.0,,
305,5819eb90d3d4474ddf97b23e,1,5000,5000.0,4.029,5995.0,5.0,5.0,0.0,0.0,763.0,,
306,59cc8ef5776ab943e535b888,1,5000,5000.0,4.04,32323.0,15.0,13.0,-15.0,-15.0,1632.0,,
307,5810b1db3deb94160f5cd4a3,1,5000,5000.0,4.041,15436.0,6.0,6.0,0.0,0.0,616.0,,
308,58380161e18c0f0c70dd6907,1,5000,5000.0,4.041,14194.0,8.0,7.0,-14.0,-14.0,1248.0,,
309,59644507366c0629be364972,1,5000,5000.0,4.045,12933.0,9.0,8.0,-12.0,-12.0,1336.0,,
310,59cef71c21064f20067f4313,1,5000,5000.0,4.046,2700.0,8.0,17.0,53.0,53.0,787.0,,
311,57adc71ab0960b039817e137,1,5000,5000.0,4.048,24771.0,9.0,8.0,-12.0,-12.0,740.0,,
312,5a17b55d1f4d8c4f0b44b0ce,1,5000,5000.0,4.053,15855.0,18.0,27.0,34.0,34.0,1903.0,,
313,563a19d1f75382101530dc15,1,5000,5000.0,4.054,39395.0,8.0,7.0,-14.0,-14.0,1269.0,,
314,5972058b439a9828e425dd78,1,5000,5000.0,4.054,13879.0,11.0,11.0,0.0,0.0,1401.0,,
315,587f55e57f83404d58fe59fb,1,5000,5000.0,4.057,4335.0,9.0,8.0,-12.0,-12.0,613.0,,
316,587b795b0366d00c898ea210,1,5000,5000.0,4.058,2359.0,9.0,13.0,31.0,31.0,1017.0,,
317,58e5a2822d91301f0b3a6bd9,1,5000,5000.0,4.064,20824.0,8.0,65.0,88.0,88.0,1366.0,,
318,5c17357134f7db2450b03d51,1,5000,5000.0,4.069,1998.0,6.0,29.0,80.0,80.0,615.0,,
319,53e4bb20ff4d6d1b68bdb6d1,1,5000,5000.0,4.071,253249.0,3.67,9.0,60.0,60.0,510.0,1.0,100.0
320,5528e31e43a8db0c29241cd1,1,5000,5000.0,4.081,8500.0,11.0,10.0,-10.0,-10.0,728.0,,
321,5641e263906c9c12737e6725,1,5000,5000.0,4.089,5534.0,5.65,9.0,38.0,38.0,1002.0,1.0,100.0
322,56dd52e8e0a234169b46c4ca,1,5000,5000.0,4.091,14275.0,9.0,8.0,-12.0,-12.0,827.0,,
323,530306fe34067e3f15c41d87,1,5000,5000.0,4.093,9116.0,19.0,21.0,10.0,10.0,1561.0,1.0,100.0
324,5e50d52818034a6835aeed37,1,5000,5000.0,4.1,591.0,2.0,7.0,72.0,72.0,239.0,,
325,5b5576f84543f458aee346fb,1,5000,5000.0,4.11,4220.0,14.0,26.0,47.0,47.0,437.0,,
326,585a8e9a7b78704cd251a232,1,5000,5000.0,4.121,11883.0,5.0,5.0,0.0,0.0,883.0,,
327,5878edca3497136a61732df9,1,5000,5000.0,4.131,4921.0,8.0,7.0,-14.0,-14.0,983.0,,
328,585f9ac5d7d14e4d51c16d4e,1,5000,5000.0,4.135,33705.0,7.0,9.0,23.0,23.0,1169.0,1.0,100.0
329,543cf22998dc200761d621b2,1,5000,5000.0,4.138,9465.0,5.69,17.0,67.0,67.0,922.0,,
330,5ae6dab8b125ab6825502d06,1,5000,5000.0,4.146,2293.0,3.73,9.0,59.0,59.0,856.0,,
331,5911220e84aaef7ce5d732ef,1,5000,5000.0,4.156,13308.0,6.0,17.0,65.0,65.0,1650.0,,
332,587b63ed3cca004cbd02d7d3,1,5000,5000.0,4.158,6476.0,6.0,38.0,85.0,85.0,1442.0,,
333,5e673ce450536b05cca259f2,1,5000,5000.0,4.171,602.0,11.0,38.0,72.0,72.0,377.0,,
334,59e70d8ceea5c546fa152f42,1,5000,5000.0,4.176,8166.0,8.0,7.0,-14.0,-14.0,917.0,,
335,56db028b3a9cb801c374b3c6,1,5000,5000.0,4.177,9486.0,6.0,6.0,0.0,0.0,901.0,,
336,57e00221b8115e1061a6f6d0,1,5000,5000.0,4.178,4373.0,8.0,7.0,-14.0,-14.0,957.0,,
337,5a5f153e430b71500d87877c,1,5000,5000.0,4.193,4632.0,8.0,58.0,87.0,87.0,920.0,,
338,58f0a6738a60c363c1281d72,1,5000,5000.0,4.193,11680.0,7.0,25.0,72.0,72.0,774.0,,
339,540ec1f21d2d431f2d4b5cb6,1,5000,5000.0,4.2,3532.0,8.0,122.0,94.0,94.0,1355.0,,
340,54236fbbf6d29616559514c9,1,5000,5000.0,4.216,41906.0,8.0,27.0,71.0,71.0,921.0,,
341,59538508e81e8a67610d9c8b,1,5000,5000.0,4.226,13075.0,14.0,68.0,80.0,80.0,734.0,,
342,5ad02d61ccf0c866db06b8c9,1,5000,5000.0,4.228,2114.0,5.69,5.0,-13.0,-13.0,437.0,,
343,5a69c113da6ce6220cd14e05,1,5000,5000.0,4.23,8740.0,5.0,5.0,0.0,0.0,667.0,,
344,5435ef5d01c0c057210e6b32,1,5000,5000.0,4.231,228676.0,16.0,34.0,53.0,53.0,1612.0,1.0,100.0
345,5950dd272eac1127e00c4883,1,5000,5000.0,4.232,5985.0,14.0,89.0,85.0,85.0,647.0,,
346,59e968275d6f342463a6157b,1,5000,5000.0,4.237,24306.0,13.0,68.0,81.0,81.0,1095.0,1.0,100.0
347,56d954c8d30d44338d07e50a,1,5000,5000.0,4.25,4809.0,7.0,22.0,69.0,69.0,797.0,,
348,58eb0bacd36f081046b7149c,1,5000,5000.0,4.251,2380.0,8.0,7.0,-14.0,-14.0,870.0,,
349,582173d6797f2308a87626e7,1,5000,5000.0,4.252,92654.0,5.65,5.0,-13.0,-13.0,998.0,,
350,5ac0310597223354603de223,1,5000,5000.0,4.253,4610.0,11.0,10.0,-10.0,-10.0,1556.0,,
351,5576bb43de4a8c24953ae98f,1,5000,5000.0,4.257,23609.0,11.0,10.0,-10.0,-10.0,1183.0,,
352,58be241991fd205b2462acc3,1,5000,5000.0,4.261,32386.0,14.0,84.0,84.0,84.0,686.0,,
353,53c62f6b46188e177eb57b6d,1,5000,5000.0,4.267,12083.0,16.0,56.0,72.0,72.0,781.0,1.0,100.0
354,59410b5a7c64942ee36dad7a,1,5000,5000.0,4.279,3209.0,8.0,7.0,-14.0,-14.0,894.0,,
355,578e0488ba8cd20e9b1b4a3b,1,5000,5000.0,4.297,13510.0,5.0,5.0,0.0,0.0,1013.0,1.0,100.0
356,589ae185ad330a4feb2b6dd5,1,5000,5000.0,4.299,68339.0,8.0,7.0,-14.0,-14.0,2737.0,1.0,100.0
357,593f5bc925c4f57281c63593,1,5000,5000.0,4.304,4191.0,3.0,17.0,83.0,83.0,788.0,,
358,547bdd648edcfa5656cac810,1,5000,5000.0,4.306,223392.0,2.66,3.0,12.0,12.0,1136.0,,
359,58f6f47891a95f10f0c54b8c,1,5000,5000.0,4.316,92005.0,8.0,7.0,-14.0,-14.0,1512.0,,
360,561921dd9342a274cb448c07,1,5000,5000.0,4.397,1963.0,8.0,17.0,53.0,53.0,907.0,,
361,5879cca64f3f2e4e79ae70ae,1,5000,5000.0,4.398,12666.0,4.0,26.0,85.0,85.0,825.0,,
362,585a1ec0b357934ca66b1457,1,5000,5000.0,4.465,47476.0,11.0,26.0,58.0,58.0,1571.0,,
363,59b29ff23eb22a1355606548,1,5000,5000.0,4.471,19184.0,15.0,13.0,-15.0,-15.0,1257.0,,
364,545c2b1790c776172b72d5ab,4,4000,1000.0,4.057,47356.0,13.0,11.25,-15.0,-15.0,407.0,2.0,50.0
365,5aa78a0c75599a5bd049d682,5,3200,640.0,4.033,5264.0,9.2,11.0,17.0,16.6,261.0,1.0,20.0
366,5ae00dbf67d25c69bcf0251c,4,3100,775.0,4.195,4811.0,11.5,22.75,14.0,13.5,167.0,2.0,50.0
